listing_id,title,make,model,year,transmission,fuel,mileage,price,location,source_url,scraped_at
tc-897e92f5-8b08-42bd-9766-,Foreign Manufacturers of New Canadian Specification Vehicles Registered in Transport Canada’s Appendix G Pre-clearance Program,,,,,,,,Canada,"{u'fr': u'http://www.tc.gc.ca/fra/securiteautomobile/vehiculessecuritaires-importation-prealable-index-447.htm', u'en': u'http://www.tc.gc.ca/eng/motorvehiclesafety/safevehicles-importation-pre-clearance-index-447.htm'}",2026-05-26T03:30:07.317371+00:00
tc-99a59608-c840-4600-b8fa-,"Canadian vehicle survey, vehicle-kilometres, by type of vehicle and type of vehicle body, quarterly",,,,,,,,Canada,"{u'fr': u'http://www5.statcan.gc.ca/cansim/home-accueil?lang=fra', u'en': u'http://www5.statcan.gc.ca/cansim/home-accueil?lang=eng'}",2026-05-26T03:30:07.317371+00:00
tc-cc1e4c45-5ecd-48b6-845f-,"Canadian vehicle survey, vehicle-kilometres, by type of vehicle and type of vehicle body, annual",,,,,,,,Canada,"{u'fr': u'http://www5.statcan.gc.ca/cansim/home-accueil?lang=fra', u'en': u'http://www5.statcan.gc.ca/cansim/home-accueil?lang=eng'}",2026-05-26T03:30:07.317371+00:00
tc-b32de2ea-83e3-4e6e-a437-,"Canadian vehicle survey, vehicle-kilometres, by type of vehicle and age of vehicle model, quarterly",,,,,,,,Canada,"{u'fr': u'http://www5.statcan.gc.ca/cansim/home-accueil?lang=fra', u'en': u'http://www5.statcan.gc.ca/cansim/home-accueil?lang=eng'}",2026-05-26T03:30:07.317371+00:00
tc-9d0db461-8ed7-44e7-a63d-,"Canadian vehicle survey, vehicle-kilometres, by type of vehicle and age of vehicle model, annual",,,,,,,,Canada,"{u'fr': u'http://www5.statcan.gc.ca/cansim/home-accueil?lang=fra', u'en': u'http://www5.statcan.gc.ca/cansim/home-accueil?lang=eng'}",2026-05-26T03:30:07.317371+00:00
tc-9aea572f-f54f-42a1-b411-,"Vehicle registrations, by type of vehicle, inactive",,,,,,,,Canada,"{u'fr': u'http://www5.statcan.gc.ca/cansim/home-accueil?lang=fra', u'en': u'http://www5.statcan.gc.ca/cansim/home-accueil?lang=eng'}",2026-05-26T03:30:07.317371+00:00
tc-2bf8c04c-39f7-4362-aba3-,"Canadian vehicle survey, vehicles up to 4.5 tonnes, vehicle-kilometres by type of vehicle and purpose of trip (specific to vehicle type)",,,,,,,,Canada,"{u'fr': u'http://www5.statcan.gc.ca/cansim/home-accueil?lang=fra', u'en': u'http://www5.statcan.gc.ca/cansim/home-accueil?lang=eng'}",2026-05-26T03:30:07.317371+00:00
tc-6136540f-0423-4590-9bd0-,"Canadian vehicle survey, number of vehicles in scope, by type of vehicle and type of vehicle body, quarterly",,,,,,,,Canada,"{u'fr': u'http://www5.statcan.gc.ca/cansim/home-accueil?lang=fra', u'en': u'http://www5.statcan.gc.ca/cansim/home-accueil?lang=eng'}",2026-05-26T03:30:07.317371+00:00
tc-e73784c1-f5f8-42ac-adcc-,"Canadian vehicle survey, number of vehicles in scope, by type of vehicle and type of vehicle body, annual",,,,,,,,Canada,"{u'fr': u'http://www5.statcan.gc.ca/cansim/home-accueil?lang=fra', u'en': u'http://www5.statcan.gc.ca/cansim/home-accueil?lang=eng'}",2026-05-26T03:30:07.317371+00:00
tc-48ca09ae-6e58-49dc-a5c1-,"Canadian vehicle survey, number of vehicles in scope, by type of vehicle and age of vehicle model, quarterly",,,,,,,,Canada,"{u'fr': u'http://www5.statcan.gc.ca/cansim/home-accueil?lang=fra', u'en': u'http://www5.statcan.gc.ca/cansim/home-accueil?lang=eng'}",2026-05-26T03:30:07.317371+00:00
